Agent,City,Company,Description,Listing_ref,Price_2015,Price_2016,Price_2017,Price_2018,Price_2019,Price_2020,Price_2021,Price_2022,Price_2023,Price_2024,Price_2025,Property_type,Province,Surbub,amenities,bathrooms,bedrooms,building_area,land_area,listing_url
Yasmin Areli,Harare West,/estate-agents/plaza-properties,"Experience refined living in this Charming Newly Built House in Mount Pleasant Heights Phase 2. Sitting on a 1,900sqm stand, this well-designed property offers a blend of modern comfort and space making it ideal for a family home or investment. Main House Features: -Borehole – 55m deep with a 5,000-litre water tank -Spacious Double Lock-up Garage – Manual push/pull roller shutters -Modern Open-Plan Kitchen – Larger layout with quartz countertops, Defy glass-top stove, tiled walls, pantry & scullery with an external door -Stunning Lounge – High-end ceiling design with LED lights & chandelier with a fan, plus two sliding doors leading to the veranda -5 Bedrooms - Beautiful Outdoor Spaces: Paved front yard & spacious backyard with a seating area Thatched gazebo for outdoor relaxation Water Feature (Fountain) adding a touch of elegance -Additional Features: Car Shed next to the cottage Walled & Gated for privacy and security Electricity Connected Septic Tank System Contact us today to schedule a viewing!",Listing ref: PLZP216052,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 300,000 ",House,Harare,Mt Pleasant Heights,"Borehole,Electric Gate,Entertainment Area,Fitted Kitchen,Garage,Garden,Internet Connection,Main En Suite,Tiled,Walled,Water Tank",2,5,400 m²,"1,900 m²",https://www.property.co.zw//for-sale/houses-plzp216052
Lucile Marovatsanga,Harare West,/estate-agents/lucile,"Discover a luxurious 4-bedroom residence in Goodhope, nestled on a spacious 2000sqm plot. This stunning property features four spacious bedrooms with built-in cupboards, including a main bedroom with an elegant ensuite. Enjoy expansive living areas with two lounges ideal for relaxation and a formal dining room for special occasions. The modern fitted kitchen comes with all necessary amenities, while secure parking is provided by a double lock-up garage with ample storage space. Off-grid capabilities include a reliable solar system, a perennial borehole for steady water supply, and solar water geysers for efficient hot water. The beautifully manicured garden offers a perfect outdoor relaxation space, complemented by top-notch security with trellidoors, walled and gated for complete peace of mind. Don't miss this incredible opportunity to own a luxurious home in Goodhope!",Listing ref: LCRE211649,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 300,000 ",House,Harare,Goodhope,"Borehole,Entertainment Area,Fireplace,Fitted Kitchen,Garden,Main En Suite,Solar System,Tarred Roads,Tiled,Verandah,Walled,Water Tank",2,4,,"2,000 m²",https://www.property.co.zw//for-sale/houses-lcre211649
Fidelis Muzondo,Harare South,/estate-agents/pam-golding,"FINISH TO YOUR OWN TASTE!!! On offer, in a gated estate with 24hr security is a 90% complete townhouse in Hatfield. The unit sits on 440 sqm of land and consists of 3 bedrooms all ensuite, open plan kitchen, a very spacious lounge and dining room. Situated just less than 8km from town in the heart of Hatfield, this townhouse is conveniently located close to all amenities making it a perfect pick for investment. The townhouse is perfect for entertainment and has very big windows that allow plenty of light to brighten the rooms, double lock up garage and is walled! Grab this opportunity to buy this townhouse and finish it to your own taste!!! Call Fidelis for viewing!!!",Listing ref: PGP202432,100000.0,110000.0,110000.0,130000.0,127500.0,110000.0,125000.0,125000.0,140000.0,160000.0,"USD 140,000 ",House,Harare,Hatfield,,4,3,160 m²,440 m²,https://www.property.co.zw//for-sale/townhouses-pgp202432
Sindi Mangiza,Harare North,/estate-agents/seeff,"This exquisite 4-bedroom residence offers the perfect blend of luxury and comfort, making it ideal for both commercial and residential use. Situated in the prestigious Chisipite neighborhood, this property boasts: Elegant Living Spaces: Enjoy spacious bedrooms with built-in cupboards and plush carpeting. The main bedroom features a private ensuite bathroom for ultimate convenience. A separate bathroom and toilet serve the remaining bedrooms. The modern kitchen, adorned with ceramic flooring and tiled walls, is a chef's dream. Outdoor Oasis: Relax and entertain in the beautifully landscaped garden, complete with a refreshing swimming pool and a full-sized tennis court. The double lock-up garage provides secure parking for your vehicles. Additional Features: The property also includes self-contained staff quarters for added convenience. Don't miss this opportunity to own a truly exceptional property. Schedule a viewing today!",Listing ref: SEF204591,320000.0,295000.0,320000.0,300000.0,280000.0,317500.0,325000.0,440000.0,490000.0,550000.0,"USD 580,000 ",House,Harare,Chisipite,"Borehole,Swimming Pool,Burglar Alarm,Carport,Electric Fence,Electric Gate,Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Main En Suite,Parking bay,Paved,Tarred Roads,Tennis Court,Tiled,Walled,Water Tank",3,4,300 m²,"4,047 m²",https://www.property.co.zw//for-sale/houses-sef204591
Nigel Jones,Harare High Density,/estate-agents/royal-properties,"FOR SALE Royal Properties presents Granary 4 bed house mes, dinning, lounge,kitchen, roofed no ceiling, single garage, not walled. Sitting on 324sqm Developer Cession Asking price 50k Jones",Listing ref: RPT195735,35000.0,35000.0,35000.0,35000.0,30000.0,30000.0,31000.0,32000.0,35000.0,37000.0,"USD 50,000 ",House,Harare,Granary Park,,,4,200 m²,324 m²,https://www.property.co.zw//for-sale/houses-rpt195735
Leeroy Torerai,Harare High Density,/estate-agents/tripple-horizon-real-estate,HOUSE FOR SALE GLENVIEW 8 neat and well maintained spacious 5beds lounge dining kitchen walled and gated on 242sqm deeds $41 000,Listing ref: THRE211739,39000.0,35000.0,38000.0,36000.0,30000.0,32000.0,35000.0,35000.0,35000.0,40000.0,"USD 41,000 ",House,Harare,Glen View,"Good ZESA,Municipal Water,Sewer System,Tarred Roads,Verandah,Walled",1,5,180 m²,242 m²,https://www.property.co.zw//for-sale/houses-thre211739
Tinashe Chataika,Harare West,/estate-agents/heaven-on-earth,"For sale is an exquisite 3-bedroom townhouse complex situated in the tranquil neighborhood of Bluff Hill, Harare West. This property provides a serene, secure environment making it a perfect family home. It showcases a land area of an impressive 500 m² and a beautifully built area of 200 m². The interior boasts a tastefully fitted kitchen with quality finishes, suitable for your culinary adventures. Each of the three spacious bedrooms ensures maximum comfort, the main being en-suite for your convenience and privacy. The property comes with a pair of nicely designed bathrooms, both of which are tiled, enhancing the splendor of the property. The townhouse complex is wired for ZESA, ensuring a constant and stable electricity supply. Furthermore, an electric fence surrounds this awe-stirring property to provide a well-fortified security system. The location of the townhouse ensures easy access to Municipal Water and is connected to the efficient Harare sewer system. Experience comfortable living in this charming townhouse complex that offers an air of elegance amidst the hustle and bustle of Harare! This gem of a property savors not only a great location but also exceptional features that make it ideal for a modern lifestyle. You don't want to miss out on this opportunity!",Listing ref: HVN209376,150000.0,125000.0,120000.0,160000.0,128000.0,140000.0,120000.0,130000.0,130000.0,130000.0,"USD 110,000 ",House,Harare,Bluff Hill,"Electric Fence,Fitted Kitchen,Good ZESA,Main En Suite,Municipal Water,Sewer System,Tiled",2,3,200 m²,500 m²,https://www.property.co.zw//for-sale/townhouses-hvn209376
Jessica Ferreira,Harare North,/estate-agents/pam-golding,"Pam Golding Properties are proud to present this impressive double storey home sitting on 2548sqm, this beautifully crafted home offers space, style and a warm sense of family living. From the moment you step onto the stunning stone floors and take in the sweeping staircase, its clear this property has been thoughtfully designed comprising of: 4 large bedrooms Spacious Primary bedroom suite includes en-suite, walk in wardrobe 2 lounges- main sunken lounge downstairs and 2nd lounge upstairs Renovated fitted kitchen and scullery Large family dining room Entrance hall Office Fireplace 4 bathrooms total Guest loo Upstairs balcony Additional Features: Double lock up garage Double domestic quarters Storeroom Borehole.",Listing ref: PGP218434,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 450,000 ",House,Harare,Helensvale,"Borehole,Double Storey,Electric Gate,Fireplace,Fitted Kitchen,Garage,Garden,Main En Suite,Paved,Staff Quarters,Study/Office,Tiled,Water Tank",4,4,380 m²,"2,548 m²",https://www.property.co.zw//for-sale/houses-pgp218434
Pauline Welch,Harare North,/estate-agents/kennan-properties,"Nestled within a secure complex, this 4 Bedroomed Town house sitting on approx. 2000sqm boasts a perfect blend of modern furnishings and comfort. The Town house features four generously sized bedrooms with large windows that allow sunlight in.Expansive open plan living and dining areas that opens up into a patio.Prolific borehole.Secure Complex: Benefit from 24-hour security and controlled access. 5KVA Solar System",Listing ref: KNP190383,345000.0,320000.0,345000.0,435000.0,320000.0,297500.0,300000.0,300000.0,385000.0,455000.0,"USD 350,000 ",House,Harare,Borrowdale,"Borehole,Electric Gate,Fireplace,Fitted Kitchen,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Paved,Solar System,Split Level,Staff Quarters,Tarred Roads,Tiled,Verandah,Walled,Water Tank",2,4,350 m²,"2,000 m²",https://www.property.co.zw//for-sale/townhouses-knp205039
Lionel Kanyowa,Harare West,/estate-agents/realtor-ville,"Along Avondale West Road is a property offering Lots of potential, a 4 Bedroom House with main en-suite with spacious lounge and a verandah that can be turned or expanded to a second lounge. There is a fitted kitchen, and a scullery combined with a pantry. There is a separate toilet and bathroom with a tub. The property needs tender, love and care. The zoning of this property is best suited for cluster developments, service station as it is Along west Road. There is also a 2-bedroom cottage with a kitchen and a spacious lounge. There is a separate toilet and bathroom. The cottage is 90% complete and left with inside furnishing and plastering outside. This can be used as an income generator apartment.",Listing ref: RVL213834,,,,,,,,,,200000.0,"USD 325,000 ",House,Harare,Avondale West,"Fitted Kitchen,Flatlet/Cottage,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Sewer System",2,4,500 m²,"1,467 m²",https://www.property.co.zw//for-sale/houses-rvl213834
Washington Moyo,Harare South,/estate-agents/shawanacapital,"New on the market is a neat family home in a serene highly sought after neighborhood of Mainway Meadows, Waterfalls. Nestled conveniently in a well-developed neighborhood serviced by a good road network, social amenities and convenient facilities which include schools (both government & private), churches, medical facilities, shopping and entertainment centers. The house is less than 1km from Masotsha Ndlovu. It offers 3 bedrooms, main ensuite, separate lounge and dinning, fitted kitchen, pantry, two separate bathrooms, single lock-up garadge. The property combines convenience with a peaceful, family-friendly environment. Security is a top priority, with the home being walled, gated and paved. Additional features include a fowl-run, dog kernel, borehole, water- well and a 5000 liters water tank. An asking price of only USD 120,000 offers a compelling bargain for a discerning buyer. Title Deed available.",Listing ref: SCRE212805,80000.0,80000.0,85000.0,92500.0,78000.0,78000.0,80000.0,85000.0,95000.0,120000.0,"USD 120,000 ",House,Harare,Mainway Meadows,"Borehole,Electric Gate,Fitted Kitchen,Garage,Garden,Good ZESA,Main En Suite,Municipal Water,Paved,Sewer System,Tarred Roads,Tiled,Verandah,Walled,Water Tank",2,3,300 m²,550 m²,https://www.property.co.zw//for-sale/houses-scre212805
Gugulethu Ncube,Harare North,/estate-agents/golden-will,"Exceptional Residence in Chisipite *Property Details* - 4 bedrooms - 3 bathrooms - 250 m² living space under roof - 1-acre plot - Swimming pool - Tennis court - Well-manicured garden *Features* - Open-plan kitchen and dining area - Master suite with en-suite bathroom - Ample room for outdoor activities and future expansion *Amenities* - Walking distance to Chisipite shopping centre - 5-minute drive to Highland Park Mall - Close proximity to essential amenities *Asking Price* $600,000 (neg) *Viewings* Strictly by appointment only.",Listing ref: GLRE215152,320000.0,295000.0,320000.0,300000.0,280000.0,317500.0,325000.0,440000.0,490000.0,550000.0,"USD 600,000 ",House,Harare,Chisipite,"Borehole,Swimming Pool,Electric Gate,Garage,Main En Suite,Tennis Court",3,4,250 m²,"4,047 m²",https://www.property.co.zw//for-sale/houses-glre215152
Brenda Cohen,Harare West,/estate-agents/kennan-properties,"***   Sole Mandate    ***                                                                      ***  Call for Full Info *** 7700 s/mtrs       Excellent development potential   or a great family home Mazowe Rd Side of Marlborough Neighbors have good underground water Buyers who have look forwards to owning a property in excess of 1 acre the Sellers are looking to identify a purchaser for their much loved property including a solid brick under tile house with large rooms and high ceilings - 4 large bedrooms 2 bathrooms plus guest toilet, a lounge with fire place and dining room - an incredibly big large kitchen with a walk in pantry. Plus a front and  small back veranda. Cottage 1 - The first brick under asbestos free standing cottage includes  1 bedroom, 1 bathroom, living room,  kitchenette, bathroom - with a single lock up garage attached. Cottage 2  - The 2nd cottage is a brick under asbestos free standing unit including a living room,  1 bathroom,  kitchenette. Plus the property also includes a single lock up garage (attached to the one cottage - making easy renovations to upside the cottage). A Well with a borehole pump and motor - still harvesting water (neighbors have good boreholes). 1 x 5000 litre water tank on a stand. A disused swimming pool - Storeroom. Partly walled and fenced. Push gate. # Regret No Mortgages - Loans - Terms # A tired home longing to be upgraded # Ideal option for subdivision or development *  Sole Mandate",Listing ref: KNP188530,135000.0,135000.0,140000.0,150000.0,150000.0,150000.0,160000.0,160000.0,177000.0,270000.0,"USD 345,000 ",House,Harare,Marlborough,"Swimming Pool,Entertainment Area,Fireplace,Fitted Kitchen,Garage,Staff Quarters,Tiled,Verandah,Walled,Water Tank",2,4,,"7,782 m²",https://www.property.co.zw//for-sale/houses-knp188530
Anotida C Gozho,Gweru,/estate-agents/guest-and-tanner,"Residential/Commercial Property for Sale in Daylesford Location: Daylesford, 7km from CBD Property Details: - 4 bedrooms - Lounge - Dining room - Kitchen - Triple lockup garage - Swimming pool - Tennis court - Land size: 6.6140 hectares Zoning: Commercial (previously residential) Additional Features: - Permit approved for primary and high school development - Title deeds available A rare opportunity to acquire a versatile property with immense potential. Contact us for more information!",Listing ref: GAT212574,32000.0,30000.0,31000.0,35000.0,35000.0,35000.0,40000.0,30000.0,45000.0,60000.0,"USD 700,000 ",House,Midlands Province,Daylesford,"Swimming Pool,Tennis Court,Tiled,Walled,Water Tank",,4,,"66,100 m²",https://www.property.co.zw//for-sale/houses-gat212574
Lorna York,Lochview,/estate-agents/kennan-properties,"Situated in Lockview, Bulawayo, this family home on 4 004sqm comprising  3 large bedrooms all with BICs, main en-suite with dress room and a further family bathroom and separate toilet. Open plan lounge and dining room with an added sun lounge and bar area overlooking a beautiful treed garden. Lovely fitted kitchen with pantry and downstairs scullery. The property has a swimming pool, double garage and a single carport. In addition there are 2 self contained cottages one with two bedrooms, kitchen, lounge, bathroom and the other only one bedroom. The property fully walled and gated. INCLUSIVE in this price is an undeveloped stand next door measuring  4031sqm which has it's own Title Deeds.",Listing ref: KNP167840,140000.0,130000.0,135000.0,140000.0,120000.0,137500.0,167500.0,150000.0,180000.0,165000.0,"USD 245,000 ",House,Bulawayo East,Cairn Road,"Swimming Pool,Carport,Double Storey,Electric Fence,Electric Gate,Entertainment Area,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Main En Suite,Tiled,Verandah,Walled,Water Tank",4,6,,"8,035 m²",https://www.property.co.zw//for-sale/houses-knp167840
Debra Williams,Bulawayo East,/estate-agents/pam-golding,"Discover this beautiful freshly renovated 3 bedroom house situated in an elite suburb which is just perfect for modern living. The stylish kitchen is a sleek modern design (the wood used is jacaranda wood) and seamlessly flows into a spacious open-plan lounge and dining area, creating an inviting space for relaxation and entertaining. Two bedrooms are complete with built-in cupboards and share an elegant modern bathroom and the main bedroom is fitted with ample cupboards and is inclusive of a luxurious bathroom en-suite. The entire house has high-quality fittings including 6. 38mm shatterproof glass. There is a one bedroom cottage with bathroom en-suite nicely set-up for visitors to stay and live comfortably. The unique garden is cleverly water-wise designed featuring aloes and decorative stones, is very attractive and ideal for low-maintenance living. Leading onto the garden is an entertainment room complete with TV cables, which is just ideal for social gatherings and fun times with friends and family. Extra amenities on this premises include : Double lock-up garage Double carport Stone fire pit with seating Utility room (could be used as an office or gym) 2 x  Storerooms Single staff quarter Solar room (7. 2 Kva system) 2 Solar geysers Laundry room Borehole 30 000 litres water tanks The property is walled and topped with electric fencing and an electric gate which lends to added security. This home combines comfort, style and elegance, is situated in a desirable location and is everyone's dream home so dont miss out on this exceptional opportunity.",Listing ref: PGP215840,140000.0,130000.0,135000.0,140000.0,120000.0,137500.0,167500.0,150000.0,180000.0,165000.0,"USD 350,000 ",House,Bulawayo,Suburbs,"Borehole,Carport,Electric Fence,Electric Gate,Entertainment Area,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Main En Suite,Municipal Water,Paved,Sewer System,Solar System,Staff Quarters,Tiled,Verandah,Walled,Water Tank",2,3,,"1,487 m²",https://www.property.co.zw//for-sale/houses-pgp215840
Nomsa Gwatiringa,Harare High Density,/estate-agents/kennan-properties,"The Land: The Real Treasure Half an Acre of Potential: A generous half-acre lot offers ample space for expansion, gardens, or even a secondary dwelling (subject to local zoning). The large lot provides plenty of privacy. The land itself represents a significant investment, with the potential for substantial appreciation. Consider the potential for adding a garage, pool, or other outdoor living spaces. Or better still, develop a gated complex and earn substantial rental income  per year or a sizable profit.  The property is located on the corner of 2 roads to allow an in and out gates for the development. The House- Perfect for a full renovation or even a complete rebuild. Structurally solid allowing restoration of original features of this 4 bed-roomed house . This is a chance to design a home exactly to your specifications. KEY SELLING FEATURES 1. Potential for profit through redevelopment 2. Opportunity to create a personalized home 3. Unlock value on this 2366 sqm 4. An opportunity to sweat equity 5. For a hands on buyer this is a chance to save a lot of money. Motivated seller plus a professional agent, go on and contact Nomsa to make an investment of a lifetime.  Do not miss this lifetime opportunity.",Listing ref: KNP214177,35000.0,35000.0,35000.0,35000.0,30000.0,30000.0,31000.0,32000.0,35000.0,37000.0,"USD 98,000 ",House,Harare,Marimba Park,Fireplace,,4,300 m²,"2,366 m²",https://www.property.co.zw//for-sale/houses-knp214177
Oliver Tafa,Harare West,/estate-agents/tripple-horizon-real-estate,"Investment Opportunity Solid family home comprises of 3 bedrooms, fitted kitchen, combined dining and lounge, bathroom and toilet. Cottage with 2 bedrooms, kitchen, bathroom and toilet. Walled and gated.  Title Deed.",Listing ref: THRE205041,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 115,000 ",House,Harare,Mabelreign,"Fireplace,Fitted Kitchen,Flatlet/Cottage,Garden,Good ZESA,Municipal Water,Paved,Sewer System,Tarred Roads,Walled",1,3,900 m²,900 m²,https://www.property.co.zw//for-sale/houses-thre205041
,Harare South,javascript:;,"Arlington incomplete double storey on 2000sqm stand with deeds This is good  opportunity to own a property in Arlington.This is a private gated residential complex in the heart of Harare fastest growing suburb of Hatfield. This property is sitting  on 2000sqm with council water and good water table for borehole, good  roads and electricity.The property is on window level  with foundation for a double storey having  4 beds all ensuite This is a gated community with 24/7 security it's a lock and go environment.Its a perfect place for a home and a great investment with good rate of return.Deeds available Asking price 150k",Listing ref: t2207970,70000.0,,,0.0,95000.0,109000.0,115000.0,125000.0,147000.0,155000.0,"USD 145,000 ",House,Harare,Arlington,"Double Storey,Entertainment Area,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Tarred Roads,Tiled,Verandah,Water Tank",5,4,489 m²,"2,030 m²",https://www.property.co.zw//for-sale/houses-t2207970
Simon Mbendera,Harare North,/estate-agents/khalida-realty,"Glenlorne: Charming Thatched House for Sale Nestled in the heart of Glenlorne, this enchanting thatched house offers a unique blend of traditional charm and modern comforts. Priced at *US$460,000*, this double-story haven is perfect for those seeking a tranquil retreat. Downstairs: - 2 spacious bedrooms with ample storage - Stylish bathroom with relaxing bathtub - Open-plan living area - Kitchen with fitted cupboards and scullery - Cozy dining area with seating for 6 Upstairs: - Spacious lounge - Main bedroom with cozy ambiance - Sparkling clean bathroom with tub Features: - Charming thatched roof and exposed beams - Private garden with patio and bar area, perfect for al fresco dining - 5kV solar system - Sparkling swimming pool - CCTV - Walled and electric gate Contact us today to schedule a viewing and make this beautiful home yours!",Listing ref: KHA213984,355000.0,280000.0,350000.0,349999.5,422500.0,250000.0,360000.0,320000.0,400000.0,450000.0,"USD 460,000 ",House,Harare,Glen Lorne,"Borehole,Swimming Pool,Carport,Double Storey,Electric Fence,Electric Gate,Entertainment Area,Fireplace,Fitted Kitchen,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Parking bay,Paved,Solar System,Staff Quarters,Tarred Roads,Tiled,Verandah,Walled,Water Tank,Wooden Floor",3,3,300 m²,"4,000 m²",https://www.property.co.zw//for-sale/houses-kha213984
Gugulethu Ncube,Harare North,/estate-agents/golden-will,"*Stunning Executive Residence in Highlands* For Sale is this beautiful double Storey House in Highlands perfect for discerning Executives, Diplomats and families seeking a luxurious haven. *KEY FEATURES* ??3 expansive bedrooms with ensuite bathrooms ?? Master bedroom comprises of a comfortable living area, convenient bar, ample dressing area and stunning bathroom featuring a relaxing jacuzzi and balcony ?? 2 spacious and elegantly designed living areas ??Gourmet kitchen with high-end appliances and finishes ??Double lock up garage ?? Office with a fitted kitchenette ??Private and secure grounds with lush gardens, swimming pool and outdoor entertainment areas ?? Storeroom & 2 servants quarters ??Land size 4076sqm ??Asking price USD680k",Listing ref: GLRE215644,295000.0,315000.0,280000.0,280000.0,320000.0,260000.0,310000.0,310000.0,460000.0,450000.0,"USD 680,000 ",House,Harare,Highlands,"Borehole,Double Storey,Fireplace,Fitted Kitchen,Fully Carpeted,Main En Suite,Paved,Sewer System,Solar System,Tennis Court,Walled",3,3,"1,000 m²","4,076 m²",https://www.property.co.zw//for-sale/houses-glre215644
Arthur Makaza,Harare North,/estate-agents/lucile,"1,850 m² An incomplete modern architectural home in Glen Lorne (Mother Touch Area) that was designed with provision for: A large open-plan kitchen-living-dining area with open spaces for aluminium door and window frames. The spacious main bedroom (with walk-in closet and main bathroom). The second and third bedrooms share a full family bathroom and the fourth bedroom has an en suite bathroom. All the bedrooms have large opening areas for modern aluminium frames and windows and space for built in cupboards The inside space is also designed with the provision of extra linen cupboards in the hallway, pantry, scullery, entry hall, guest toilet, and a double lock-up garage that can be converted into an extra-large guest room. To suit the buyer's preferences, the house needs finishings like tiling, inside plastering and a ceiling. Features A 5000l tank, tank stand, walled and gated. The stand size measures 1 850 square metres. NOSTRO ACCEPTED",Listing ref: LCRE207829,355000.0,280000.0,350000.0,349999.5,422500.0,250000.0,360000.0,320000.0,400000.0,450000.0,"USD 200,000 ",House,Harare,Glen Lorne,"Garage,Garden,Main En Suite,Tarred Roads,Walled",3,4,,"1,850 m²",https://www.property.co.zw//for-sale/houses-lcre207829
Sibukele Maphosa,Gweru,/estate-agents/seeff,"Highly sought-after area, 3km from Midlands State University (MSU) main campus . Property Features: - 252 sqm each, with 7 rooms - 5 spacious bedrooms - 1 lounge - 1 large kitchen - 2 full bathrooms - 230mm facebrick walls for durability and security - ZESA and water connected - Ceiling and tiled floors - Fiber optic Wi-Fi - 3kVA solar system for backup power - Borehole with 5000L water tank Ideal for: - Students and staff of MSU - Families seeking spacious accommodation - Investors looking for rental income",Listing ref: SEF206960,32000.0,30000.0,31000.0,35000.0,35000.0,35000.0,40000.0,30000.0,45000.0,60000.0,"USD 60,000 ",House,Midlands Province,Nehosho,"Borehole,Good ZESA,Internet Connection,Sewer System,Solar System,Tiled,Water Tank",2,5,,252 m²,https://www.property.co.zw//for-sale/houses-sef206960
Blessing Mangachena ,Harare North,/estate-agents/cbz,"FOR SALE: INCOMPLETE PALATIAL HOME ON OVER 8,266 SQUARE METERS OF PRIME LAND Overview: This grand, incomplete palatial home is situated on over 8,200 square meters of prime land in the prestigious Folyjohn Crescent, Glen Lorne, Harare. With a multi-level design and breathtaking valley views, this property offers an unparalleled opportunity to create a customized luxury home. Perfect starting point to build an ambassador’s residence. Features: • Ground Floor Grandeur: -	Double-Height Entrance Hall: A grand entrance leading to a double-floor lounge. -	Study & Reading Room: The study includes a private bathroom, while the reading room offers a quiet retreat. -	Double Lock-Up Garages: Conveniently positioned on either side of the entrance. -	Kitchen & Dining Area: Includes a lockable pantry, scullery, and family lounge/kitchen extension, with a dining room offering stunning valley views. -	Guest Bedroom: Equipped with an enlarged door for wheelchair access. • Top-Floor Luxury: -	Three Bedrooms: The main bedroom has a double ensuite (his and hers), and the two additional bedrooms feature en suite bathrooms and dressing areas. -	Wake up to sweeping views of the valley. • First Basement Retreat/Entertainment area: -	Valley Views: The basement, not visible from the street, enjoys beautiful valley views. -	Two Bedrooms: Both bedrooms come with en suite bathrooms/dressing areas. -	Entertainment Space: A bar area overlooks a large lounge, and the wellness area includes a gym, toilet, and sauna. -	Lift or Spiral Staircase Provision: A space is reserved for either a spiral staircase or a small domestic lift connecting to the upper floors. -	Visitor Access: A double door side entrance will allow visitors to access the lounge area without needing to pass through the main house. • Second Basement Functionality: -	Domestic Quarters: Includes two bedrooms, a toilet, shower, and kitchen for staff accommodation. -	External Access: The domestic quarters connect to the main house via an external stairway that leads to the kitchen door. -	Engine Room: A large engine room designed to house water pumps and filters for efficient operation of the home. • Third Basement Water Management: -	Massive Water Storage Facility: This steel and concrete waterproofed structure has the capacity to store 120,000 litres of rainwater collected from the roof via in-built pipes. It also has the facility to accept water deliveries straight into the tank. -	Piping Infrastructure: The house is equipped with piping to supply filtered water from the tank, ensuring a reliable water system. • Expansive Plot: -	The 8,200+ square meter plot provides ample space for landscaped gardens, outdoor entertainment areas, and other luxury amenities. -	Infinity Pool: The land has been pegged for the construction of an infinity pool, accessible from the first basement lounge. • Eco-Friendly Roof & Energy Storage: -	The concrete roof is designed to carry over 100 solar panels, providing ample energy potential",Listing ref: CBZ218834,355000.0,280000.0,350000.0,349999.5,422500.0,250000.0,360000.0,320000.0,400000.0,450000.0,"USD 1,000,000 ",House,Harare,Glen Lorne,,7,8,956 m²,"8,266 m²",https://www.property.co.zw//for-sale/houses-cbz218834
Lilliossa Bakasa,Harare North,/estate-agents/guest-and-tanner,"Guest and Tanner Presents this Majestic double story house in the most desirable gated community of Borrowdale Brooke. Sitting on a 1 306 sqm land, this house consist of 5 bedrooms all with built in cupboards and a total of 4 spacious living rooms. On ground floor, there are 3 bedrooms, one with ensuite and a separate bathroom. A magnificent kitchen with granite countertops and customed fitted cupboards. Three beautiful living rooms downstairs, a separate closet and a balcony.  Upstairs comes with a luxurious master bedroom with a walk in closet, an ensuit and a private balcony giving off gorgeous sceneries of the golf course. Another spacious living room upstairs with a balcony offering a relaxing  area for a family. The house also features a double locker garage, 5KVA solar system, a staff quarters borehole and a generator. Title Deeds Available. Hurry and grab this opportunity to live in one of the most outstanding luxurious estate in Harare.",Listing ref: GAT206043,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 800,000 ",House,Harare,Borrowdale Brooke,"Borehole,Fireplace,Fitted Kitchen,Garage,Good ZESA,Main En Suite,Paved,Solar System,Staff Quarters,Tarred Roads,Tiled,Verandah,Walled,Water Tank",4,5,388 m²,"1,308 m²",https://www.property.co.zw//for-sale/houses-gat206043
Nkazy Mkwananzi,Bulawayo East,/estate-agents/pam-golding,"Located in one of the most sought-after neighbourhoods with a reliable water table, this well-positioned 3-bedroom home sits on a 3,000sqm stand in an area that has become increasingly commercial. Previously rented by doctors, the property is well-suited for residential living or professional offices. The home includes a self-contained 1-bedroom cottage, perfect for guests, rental income, or a private workspace. A borehole ensures a consistent water supply, keeping the well-maintained garden green all year round. The paved driveway and yard add to the property's clean and well-kept appearance. For added peace of mind, the property is fully walled and gated, featuring a sliding gate and armed security measures. Whether you're looking for a comfortable home or a solid investment in a prime location, this property is an excellent choice.",Listing ref: PGP217944,140000.0,130000.0,135000.0,140000.0,120000.0,137500.0,167500.0,150000.0,180000.0,165000.0,"USD 295,000 ",House,Bulawayo,Suburbs,"Borehole,Air Conditioning,Burglar Alarm,Carport,Electric Fence,Electric Gate,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garden,Good ZESA,Main En Suite,Municipal Water,Solar System,Staff Quarters,Study/Office,Tarred Roads,Tiled,Verandah,Walled,Water Tank,Wooden Floor",2,3,,"3,000 m²",https://www.property.co.zw//for-sale/houses-pgp217944
